"ImageNumber" "Accuracy"
"1" 74 0.533333333333333
"2" 40 0.53968253968254
"3" 59 0.540983606557377
"4" 17 0.557377049180328
"5" 27 0.580645161290323
"6" 84 0.590163934426229
"7" 75 0.593220338983051
"8" 70 0.596491228070175
"9" 120 0.60655737704918
"10" 34 0.609375
"11" 94 0.609375
"12" 103 0.619047619047619
"13" 3 0.620689655172414
"14" 23 0.622950819672131
"15" 28 0.629032258064516
"16" 95 0.629032258064516
"17" 107 0.629032258064516
"18" 7 0.631578947368421
"19" 13 0.633333333333333
"20" 2 0.637931034482759
"21" 49 0.645161290322581
"22" 45 0.65625
"23" 50 0.661290322580645
"24" 82 0.666666666666667
"25" 1 0.672413793103448
"26" 48 0.67741935483871
"27" 99 0.682539682539683
"28" 67 0.684210526315789
"29" 72 0.684210526315789
"30" 35 0.693548387096774
"31" 88 0.693548387096774
"32" 6 0.701754385964912
"33" 93 0.703125
"34" 57 0.704918032786885
"35" 38 0.707692307692308
"36" 9 0.719298245614035
"37" 91 0.725806451612903
"38" 44 0.73015873015873
"39" 69 0.736842105263158
"40" 115 0.737704918032787
"41" 62 0.741379310344828
"42" 31 0.741935483870968
"43" 108 0.741935483870968
"44" 114 0.741935483870968
"45" 15 0.745762711864407
"46" 42 0.753846153846154
"47" 98 0.753846153846154
"48" 58 0.754098360655738
"49" 116 0.754098360655738
"50" 118 0.754098360655738
"51" 119 0.754098360655738
"52" 5 0.754385964912281
"53" 54 0.758064516129032
"54" 113 0.758064516129032
"55" 4 0.758620689655172
"56" 39 0.761904761904762
"57" 26 0.765625
"58" 78 0.770491803278688
"59" 117 0.770491803278688
"60" 86 0.78125
"61" 56 0.786885245901639
"62" 68 0.789473684210526
"63" 30 0.796875
"64" 61 0.810344827586207
"65" 64 0.810344827586207
"66" 33 0.8125
"67" 16 0.813559322033898
"68" 41 0.815384615384615
"69" 19 0.816666666666667
"70" 73 0.816666666666667
"71" 83 0.819672131147541
"72" 32 0.82258064516129
"73" 110 0.82258064516129
"74" 65 0.824561403508772
"75" 66 0.824561403508772
"76" 22 0.825396825396825
"77" 81 0.825396825396825
"78" 104 0.825396825396825
"79" 25 0.828125
"80" 97 0.830769230769231
"81" 18 0.836065573770492
"82" 24 0.836065573770492
"83" 55 0.836065573770492
"84" 109 0.838709677419355
"85" 10 0.842105263157895
"86" 29 0.84375
"87" 46 0.84375
"88" 105 0.84375
"89" 14 0.85
"90" 20 0.85
"91" 80 0.85
"92" 60 0.852459016393443
"93" 77 0.852459016393443
"94" 111 0.852459016393443
"95" 112 0.852459016393443
"96" 53 0.854838709677419
"97" 21 0.857142857142857
"98" 100 0.857142857142857
"99" 8 0.859649122807018
"100" 11 0.859649122807018
"101" 102 0.861538461538462
"102" 63 0.862068965517241
"103" 51 0.868852459016393
"104" 96 0.870967741935484
"105" 43 0.873015873015873
"106" 89 0.875
"107" 37 0.876923076923077
"108" 79 0.883333333333333
"109" 71 0.894736842105263
"110" 76 0.898305084745763
"111" 52 0.901639344262295
"112" 47 0.903225806451613
"113" 85 0.90625
"114" 90 0.90625
"115" 106 0.90625
"116" 12 0.912280701754386
"117" 92 0.919354838709677
"118" 101 0.923076923076923
"119" 36 0.951612903225806
"120" 87 0.967741935483871
